Tx ID,Block Height,Output Index,Amount,Address,Spent,Lifespan (days),Reused,Creation Timestamp,Spent Block Height,Spent Timestamp
26ffc5a7d6aa7a522696e75c306b2eac78235060878d75abd431666047d62335,7086,0,50.0,LgzjxUpKwsrMKoXXnc2vEnFko2ewHipfPB,True,12.0,True,2011-10-13 09:55:11,19084.0,2011-10-26 03:27:07
96fd40aac6d49f8f69a959735b0d037975453e6dd7ef45ac8883b4d69caa1a9b,7087,0,50.0,LWeMZLK1eHa2a9AkjY1Sj98yiCfqkV94pn,True,3.0,True,2011-10-13 09:55:13,12164.0,2011-10-16 14:29:13
d1d395c1066c60d724c6a800668421ca9fa46e2254500981fcc393f53657d53e,7088,0,50.0,LZpZw8qMEqRU981Ex17K69fZofkWwZQ4qM,True,1.0,True,2011-10-13 09:55:22,10941.0,2011-10-15 04:16:07
7e60f319cb9cc02545db52bb84b2d1ea2fcf29af259d0aec02e419ce8fabaf6b,7089,0,50.0,LdaWEP5FjY7h4yVSSryyV66t7rJ2D8wWeo,True,3.0,True,2011-10-13 09:55:28,12164.0,2011-10-16 14:29:13
165d8db01da7715663f48bbeebbb55672571d2a25a15bc3594597fcfe1cb6e39,7090,0,50.0,LUqWxGPom7Ppor3ec9krwWoXPfoazkiHUe,True,3.0,True,2011-10-13 09:55:34,12158.0,2011-10-16 14:29:13
0b4df094c1f3c86e6d8ed63a0ca770428a94b5faa53f1122b3b3b18d8532e9d9,7091,0,50.0,LWsTkbB5hY2m7VYCsyM9baaZM6UYhP3g9Y,True,3.0,True,2011-10-13 09:55:42,12185.0,2011-10-16 15:18:09
c55ebbfbca3ef1bb2b827151d511e45004df5ebb698bfb3bbd05712d3c5eff12,7092,0,50.0,LgF2BaKq9QfFUAg2j4qMwBbXNE5LQcsvpk,True,12.0,True,2011-10-13 09:55:49,19084.0,2011-10-26 03:27:07
0412be40dcf0464f6f05f9e1ba7092a7eb290ae573a7da267ee28768750d39bc,7093,0,50.0,LZATZDwsaENoRZtFz6V5bzgGfZh2BvD9Hq,True,12.0,True,2011-10-13 09:55:54,19084.0,2011-10-26 03:27:07
8742d30c7c1ae53509f62382409cadf18753a38ce585d47c80fd2e9fe1f72e69,7094,0,50.0,LhAVoygyTWzcahGAkB8JY2dyCi8aAqeA2R,True,1.0,True,2011-10-13 09:56:07,10686.0,2011-10-14 20:18:36
791edab23d6c480f0f4a96ef1f2b1dc395179a175d8b7ae8d33032b619612624,7095,0,50.0,LP2MijQeixL5NDgWmWxDqK8K19HkXbn3Gh,True,12.0,True,2011-10-13 09:56:08,19084.0,2011-10-26 03:27:07
954155db910b83e0f886cde19377f797abf3674bd1c7347c02f3dfca87257eb7,7096,0,50.0,LNtExckYqtVrSViVjtsZQ4o1trT67rzH6w,True,777.0,True,2011-10-13 09:56:18,468882.0,2013-11-29 06:19:52
c73549d0f8db501bb0118711de30437dadaae0ba87a264085027541f8c1fed09,7097,0,50.0,LeLxvvnCodCMfpdpJdJDU5mhzDaLwWTaoa,True,4.0,True,2011-10-13 09:56:24,13479.0,2011-10-18 07:02:32
b7390af127a240e49904c76efac6d524850570f3b6e1e162190dce6296cec291,7098,0,50.0,LNuU2CXKrjr461HNUSENaVkYD9oBwPpQD4,True,12.0,True,2011-10-13 09:56:25,19084.0,2011-10-26 03:27:07
d1d263efb112c880c18961fb8211e2850e6c52414d9ee11e4e2d8baad1edff0c,7099,0,50.0,LQVoHLT58xqwnvrPvx8BMCepwANEVuXiwV,True,12.0,True,2011-10-13 09:56:32,19084.0,2011-10-26 03:27:07
de19e324e549e3043c2b4bb6724a4500ac9f8a9258298af93693a00e1c64ef0c,7100,0,50.0,LSHJZ5VBf12ayR8Cu7tzcbAU9AUW2E91Jy,False,,,2011-10-13 09:56:38,,
e621ab661268cfcfab0e4a733ff88dfa26071cb9f1829d40a7c59b812b977fd9,7101,0,50.0,Li7HwWPGdJ5uLag8UD38n6JXZZ7meeUwyS,True,3.0,True,2011-10-13 09:56:39,12164.0,2011-10-16 14:29:13
1c503e106ce650fa0dd9451a3ef57139d6daee9a8ac6bd8e2f4f01f06aa5d15e,7102,0,50.0,LSa7DQMuaQj6ou187dTM2aJtL89y6ajb96,True,3.0,True,2011-10-13 09:56:45,12164.0,2011-10-16 14:29:13
6efc8f1402269b17855e48ca2b24c0600dde38b671a45fca2004302f725dbe21,7103,0,50.0,LVpJFd7Wmx5kGv8BMo97qnC51Fr6S2xpmi,True,7.0,True,2011-10-13 09:56:52,15050.0,2011-10-20 10:43:54
149d5ee38024b3ee1922a7a89cc2e98a346cd16bc2b9a0108aead1da5a033228,7104,0,50.0,Lg6AnKcLeGKpC5mG3mo6XtQGnwafvAUjr6,True,4.0,True,2011-10-13 09:56:57,13477.0,2011-10-18 07:00:24
c68934e887d342651a879cd5367e6b5f543c4a3df7757da61e07a8d3180a69b9,7105,0,50.0,LMtSgJPMkxrrrxYGGyiComm7QR4seQ3AWV,True,54.0,True,2011-10-13 09:57:01,45281.0,2011-12-06 11:24:48
8e6b369b227a58a3f65c83ace238a14b46cc86561d3c06e15b6180b3cb6fc84f,7106,0,50.0,LVQrvaxHeTfJyic2JKovF95ezXh99egiwZ,True,17.0,True,2011-10-13 09:57:06,21956.0,2011-10-31 08:09:08
0734e38a7928669c2807c0424851e5f36161f1f4ed07ed858f90827f1d006388,7107,0,50.0,LYVTC6mgXKhBCA5oJVsfDEVhL6HzGvcviG,True,54.0,True,2011-10-13 09:57:10,45530.0,2011-12-06 21:27:03
3453cbe4e0c2258c757005d6c71d6c8be4a0a09ec9acb34d1628d9efe0a20ef3,7108,0,50.0,LaLV2fuTGasQjnM1xr4cpqWu55zPN3F6ku,True,3.0,True,2011-10-13 09:57:17,12169.0,2011-10-16 14:56:36
c7d401cc728c46c3b308ee777242362889547ad95e83629d2ea40278d67fb693,7109,0,50.0,LeorbDx62MnRmHLSRSsZN5Mi2ruS9N21LA,True,12.0,True,2011-10-13 09:57:20,19084.0,2011-10-26 03:27:07
e4833baaddcca46faeaf30af00f2caee0d3776b47ff1ea497ef5dff709a6c043,7110,0,50.0,LWkmFeWakhYVFvpRoThacNGWdkyt4amxeg,True,54.0,True,2011-10-13 09:57:23,45530.0,2011-12-06 21:27:03
