Block Height,Timestamp,Tx ID,Inputs,Outputs,Total Output ,Fee 
45,2011-10-13 03:02:58,b1254e83279237d12b0ec4e25409238b223b0590aac21191fd899d442b69946c,0,1,50.0,0.0
46,2011-10-13 03:03:08,3e2a7228771246d68d8b3f3e0eebc79cfca711b93f85fa788659d2303320b8f2,0,1,50.0,0.0
47,2011-10-13 03:03:10,2cbecfd5b974bd62105ec8289884fbefff4c40b27ae68d558cd6def74d9ccb56,0,1,50.0,0.0
48,2011-10-13 03:03:15,c9530856544cb02505a2096f567d5ebcd37b2f725bb8a91e79ee4adf9ad4e870,0,1,50.0,0.0
49,2011-10-13 03:03:18,dba3a1f3079951b4e39271b98b011e78cb94c1d782054ec0932a0754fd007bbf,0,1,50.0,0.0
50,2011-10-13 03:03:18,d9a4a4483b8b5d9f4b98b32c6363bbf4806635c57eb18ee2a7996c385552a440,0,1,50.0,0.0
51,2011-10-13 03:03:25,d6bf9d9fc65ee191d51c2db70eb2a0cd9a7c7e606934cc3778b686aa481cad1c,0,1,50.0,0.0
52,2011-10-13 03:03:28,0809aabb6e0477ba6bad109980bc10534d7020d40bb9a345bf65704ca968273b,0,1,50.0,0.0
53,2011-10-13 03:03:31,f75aa334825d83662c42c24d7984b35297d7ba6573792c403b4ce9fd964c6e9d,0,1,50.0,0.0
54,2011-10-13 03:03:32,387065763443deda8951c1c406ce5ebe8acbb9ba554c6670e56c925c7369dc7a,0,1,50.0,0.0
55,2011-10-13 03:03:34,4af47cdd20a76f09d3b7fe9efedac75641bacf64e2019f2688aa63e30afd5842,0,1,50.0,0.0
56,2011-10-13 03:03:35,c9456458911c7a6670c6d5eb770405d442bec579ea0dbfc6376732168d637463,0,1,50.0,0.0
57,2011-10-13 03:03:39,53bd5bd5c3a728773bfc4600182d80decafc432980ed4735bc4ad1d29122841a,0,1,50.0,0.0
58,2011-10-13 03:03:45,408ee8c289c825a68d8ae97c79be358ec5123665bcf1758447200d99b4862cc8,0,1,50.0,0.0
59,2011-10-13 03:03:47,200207ba833d4b15f268002e22ebeb3b4628fdd071d5905a2fd3d07993249a15,0,1,50.0,0.0
60,2011-10-13 03:03:56,9cac3ae242b1a1808435daac97f627b3b24710a995761c79287260717e7eb3ed,0,1,50.0,0.0
61,2011-10-13 03:03:59,76a1bc2de7f2aa78ccb4280f3434341fb137bcca3030130fecfda9b7606151b2,0,1,50.0,0.0
62,2011-10-13 03:04:05,ad1dc3f7514c39e40dd29a88139cfe0a3ff4920fc79965fdf93689c5f713f212,0,1,50.0,0.0
63,2011-10-13 03:04:09,cb8479bcd8492d7ccca8264e723be824f72c369459fa420f0f09da91beaeb882,0,1,50.0,0.0
64,2011-10-13 03:04:14,794fee5bae59c95b0afe34e4deb9d18944246266e7d73f3f151bc6bc9308c40a,0,1,50.0,0.0
65,2011-10-13 03:04:16,36301892345686d910a7fbbecc172a91d35541fdb3ea9a9f36df34ada7fc3b22,0,1,50.0,0.0
66,2011-10-13 03:04:20,d8023a48f01cf44c9b5ebcb8b50175cd32f3bfa96c04eac5ac987991c38f5bfe,0,1,50.0,0.0
67,2011-10-13 03:04:23,c739d049a7561937878773f16d07726acaaf408d5c4c63b4dc2af13280e96261,0,1,50.0,0.0
68,2011-10-13 03:04:25,576892fbd216a61ad10a18cfc17b4dfd75289702a37935bde55309360e6e4b85,0,1,50.0,0.0
69,2011-10-13 03:04:26,78634698115f6419ac2c8b33b091561b15d4dfcdda38f430bb5c726b5bd81e17,0,1,50.0,0.0
70,2011-10-13 03:04:30,377b613f68a2f0b8dda7809d02ab7b2f1c5894ff9f699701652e8263cf4207e8,0,1,50.0,0.0
71,2011-10-13 03:04:32,364350bccef960692b1b28627ffbd8c0176ddd7863548a1f832c1f568a141224,0,1,50.0,0.0
72,2011-10-13 03:04:37,0f1e6adc45fb479188e7a05f0615f5afc4171363401bc7d4a6066f68393aa9e8,0,1,50.0,0.0
73,2011-10-13 03:04:42,d520dae0ab5388c6af90a6d36d791cebeded445e4d825b6f1ddd0eb7bb784918,0,1,50.0,0.0
74,2011-10-13 03:04:44,e6aaeaa00d1cb23810a5b082a38a1e468c290c3e0bd67da9d03adbd9012bac1e,0,1,50.0,0.0
75,2011-10-13 03:04:46,94cb20a668e8555f9e7d7e26e15d8b37deaa218faee17948766b66c83329f4fc,0,1,50.0,0.0
76,2011-10-13 03:04:49,7e2db0acc5ca94323b22d5e775d0b1e32a21e901ca07a73b55f8c1135d523363,0,1,50.0,0.0
77,2011-10-13 03:04:56,570d3faf4e6101c8e3ae1a84f8c83149127b79b45db2888f521888aa3c6a79e8,0,1,50.0,0.0
78,2011-10-13 03:04:57,7ed3289a133b4432dc37219fdd1a215ca9147ddc5bd9bd7cf633278ffcee4542,0,1,50.0,0.0
79,2011-10-13 03:04:59,d028e8656d6c82ae3f173522a591e077952369415f7171fc7ada5e01437917ef,0,1,50.0,0.0
80,2011-10-13 03:05:02,7a6861c5c13d0e8dd9807584d28e861a8d352cae3355cd4cc1596c7e2735e10f,0,1,50.0,0.0
81,2011-10-13 03:05:04,277d6caaabd4fbe1f88e00fe364996f5832e94258153e991c9ae05e75470cdac,0,1,50.0,0.0
82,2011-10-13 03:05:10,33742b65f6079d7c04ca63ed4e1c945c69ba6afdbcc99c91c1c79345009a5222,0,1,50.0,0.0
83,2011-10-13 03:05:11,d66236757c82e76ee5f6d6a45ea53672eb1ed291e5f620c336576067ec2f54f4,0,1,50.0,0.0
84,2011-10-13 03:05:16,1145a9ccdbe1101cfcb25057e69f2865b3804d8b9f129d0ae0f42c0c84b8aeae,0,1,50.0,0.0
85,2011-10-13 03:05:19,14a6dca84f0c302a11bbab22b708c1933da818fd3ceaf5dbb6e0a6f77ea19ee5,0,1,50.0,0.0
86,2011-10-13 03:05:23,35cb29234e517ea85dbf46d43af87e881aa138ba324df081ad454ae1cb8825a7,0,1,50.0,0.0
87,2011-10-13 03:05:26,03fb494aa3ae0cb490e136e9dd2956fce9c5cf55e923d02735cd1847737e8063,0,1,50.0,0.0
88,2011-10-13 03:05:28,4124a0bb4d36835e6a428f40e22dc8e55251c14980d153ac06f5e602664306a1,0,1,50.0,0.0
89,2011-10-13 03:05:31,51269b1d6f3688c76fdd285b402aa992b582a81406bc3adc08d97073d41f4fad,0,1,50.0,0.0
90,2011-10-13 03:05:36,14ee678fc5019f27d0b42e8cf183dafaebdc95b97ffa473b7f4b01a9f7ba2be7,0,1,50.0,0.0
91,2011-10-13 03:05:37,9e4b6195b1d26ac6404418074561a72226d377e5aea8dea9dbda94d10cbb3b87,0,1,50.0,0.0
92,2011-10-13 03:05:38,2760cdbd49086884fe7b648b32cd82253e85488f08d966b14e38c296ba3202c1,0,1,50.0,0.0
93,2011-10-13 03:05:42,886d426223244d60795c4f4111a7949492076d357a014f17b750efac062381c8,0,1,50.0,0.0
94,2011-10-13 03:05:44,e8688c37cb11f5e12410709e265059222592e8c85ffbdf4f71711da1895c9ba2,0,1,50.0,0.0
95,2011-10-13 03:05:48,f160faa897cebd70564f079b5890d5e3de43269b6b3d88ee8e110f9ee209b7db,0,1,50.0,0.0
96,2011-10-13 03:05:53,6145ae14a28ad0897133928addec9d9f62b6f2054bc5eabe0c43fe895279b4c4,0,1,50.0,0.0
97,2011-10-13 03:05:58,fffffda4925caf689f61409597f93b1c92c6cd0a44d53e1298c739bf93ea184c,0,1,50.0,0.0
98,2011-10-13 03:06:02,e0e68cd0845375497cd7816afe0e4de84574801105de0a965a9ae8c401846d71,0,1,50.0,0.0
99,2011-10-13 03:06:03,855eac1d1d9c33c5c19707cde0e6d8546d6386c0ea5810163e6a6109e90f9f10,0,1,50.0,0.0
100,2011-10-13 03:06:06,1ea3f171d4b77016f7af96e2f43b7298529ef6f987a5f1c9fe560765f1565afd,0,1,50.0,0.0
101,2011-10-13 03:06:07,d53249ed0ea7e0070fb1ec6c19141b83d6fe9356f415c62573af6e364512a9ee,0,1,50.0,0.0
