Height,Timestamp,Size (bytes),Hash,Difficulty
0,2011-10-07 07:31:05,280,12a765e31ffd4059bada1e25190f6e98c99d9714d334efa41a195a7e7e04bfe2,504365040
1,2011-10-08 06:29:19,215,80ca095ed10b02e53d769eb6eaf92cd04e9e0759e5be4a8477b42911ba49c78f,504365040
2,2011-10-12 02:34:18,215,13957807cdd1d02f993909fa59510e318763f99a506c4c426e3b254af09f40d7,504365040
3,2011-10-13 02:59:41,215,dec173dda2735ff11376b68bdfda804cede230c1fa6f1a11765cddfd8edf4398,504365040
4,2011-10-13 02:59:46,215,5007153e4c02602dd2ee1df62efc727f5d5c261a942c2f254fa89fb6e6a8f0cf,504365040
5,2011-10-13 02:59:51,216,f5355c3b8c86642a51a8a49c619adb9fe34093bde86ae73ed3073f2c0c4a09b1,504365040
6,2011-10-13 02:59:56,215,6642a515e5c5ec0d26d49454f5da974c2cf8e59953c5cf1a170a1e14a5df9ae1,504365040
7,2011-10-13 03:00:01,215,b322eec6f00018560549f83fe8cf6003fb1955fcabc302dd703b70d3022d6ffa,504365040
8,2011-10-13 03:00:06,215,8f2955f003c0dac10f2d15fb1714c88479a91ece6634e7717e6c5f876131b7e6,504365040
9,2011-10-13 03:00:16,216,2a22b7e424fbdaa8fbbfc80db76e151ff3ab5f83df2bed6e57610994352ff7ff,504365040
10,2011-10-13 03:00:31,216,7d1e3ef2a633c14a78596dd28751a82ab1981c8426e52c3f398ab71db2cce86a,504365040
11,2011-10-13 03:00:33,215,98e94a6808b8e48acb3bcc85d6806f3ee71c7ccd53087ad5c31e793771f183b2,504365040
12,2011-10-13 03:00:37,215,e62d6499772da36ab36c9a4706329b5abf2f6a508abbc68237c24b4b45a1f559,504365040
13,2011-10-13 03:00:48,215,2b29a55cc1eec435bd5d6f0eeae823044b4612b6ccfb032dad0bc088a49bfa69,504365040
14,2011-10-13 03:00:53,215,42364e3236d52bf365e20384237a053036aa5741b257bbb90df21355d056ad1f,504365040
15,2011-10-13 03:00:54,215,72c39cf13a2b5ae588e4248ce2b54264a67050c63743ab9e997f3999e53a157f,504365040
16,2011-10-13 03:01:07,216,4bddcbae91541afa4d01bb94cabd39c21886bfd139a4df7e1dfd983ebca541c8,504365040
17,2011-10-13 03:01:11,215,bd48bb791b61de487e3235820c8ae578d9d6e335ccd651e05e6059dc096a5ba4,504365040
18,2011-10-13 03:01:15,215,34517832ff48996278d56124ca31963b404acbcd77a7ab8eaaa530be835cb64d,504365040
19,2011-10-13 03:01:20,215,6ea63d7aa791c13042b72c6855f089ef78ed45c3b8dc3263fc0e8cb8b3070f05,504365040
20,2011-10-13 03:01:25,215,a4ad8c78654e76a729c12dd10522a40ba7077167bbf5b28fc9c71d25fcd67226,504365040
21,2011-10-13 03:01:26,215,31ed087d6effc647d37b6e04f7e7da9e04b270d95262b21c8275aa10fc0c7104,504365040
22,2011-10-13 03:01:27,215,67eaaea4feeeef9db29c57bb098fc3b205509d2dcff62c544b3fdcf88f7f722b,504365040
23,2011-10-13 03:01:31,215,1e8463f20776ce8f5c6495f4b6ad77efe394e190c0d07d58d0cb93c0b9c2e095,504365040
24,2011-10-13 03:01:32,215,3ac2fdec966b95460df0e92524d78fd4b0057934f51aeb4c82b383637c39f73f,504365040
25,2011-10-13 03:01:37,215,585cace8115a694add8557feb772c8efbdb8f026dc2bd39854bf0ea04b9efbb3,504365040
26,2011-10-13 03:01:39,215,17978c43aa01ac508a29c5f407f644daa020c5cbda347be49e0efc1cfbfd76cf,504365040
27,2011-10-13 03:01:37,215,ab4e3a1356d19631b34f26a4d7894a475228b018055c0be69009636c16460fca,504365040
28,2011-10-13 03:01:50,215,c09b1cf5a601a7c2fd54e259496425f9e3d069b7e31270408415fcaf2d883eb3,504365040
29,2011-10-13 03:01:51,215,0d9abda0c129cd17d071cb838d3a6672f85abdf8ed910ce0d965298f77e1d856,504365040
30,2011-10-13 03:01:57,215,e287ff1c96cdc11e8748ea006daf629e46562ef78d56bceef1cdd95d20c47445,504365040
31,2011-10-13 03:02:00,215,06536e0d4ba5d8461ae716bd9e001a463681a87989040857834850bac1a326c8,504365040
32,2011-10-13 03:02:02,215,f392a2fff815ed22d6c6828ad5d2a1ea24a595a17d392e2e2d0a2153635c45fb,504365040
33,2011-10-13 03:02:12,216,0d3aed4fdf23b36b4db1730bec5260310aa18e903df3e08967cefa9160b3d9fd,504365040
34,2011-10-13 03:02:15,215,066ee1abf2da5e7b1e44987ed1e272a29fc16c1a5cc2d404d39cf97cca7b7e1b,504365040
35,2011-10-13 03:02:17,215,6aa1c93d5b92d38e6a2472b09a6e4efc9dd38245bb65b265e601ce0f4519ef9e,504365040
36,2011-10-13 03:02:21,215,948e0e6911332094d60567caef4bff7a3ff646b0de6d3baf8d9929d8456f96bf,504365040
37,2011-10-13 03:02:23,215,07bffe5b6253abcb7c4b7b69c6510f6148fcd10e2c57b733e92e4ee4f3039add,504365040
38,2011-10-13 03:02:28,215,51c7917bcfba0adac62e3db1f07c69c8298033159add36153627fc3d04c511c3,504365040
39,2011-10-13 03:02:31,215,1c63f07fa59290b84df3610873666c787551c99c431a7cb6d8dfb12d0a132d66,504365040
40,2011-10-13 03:02:36,215,ef21db464af2f05fdb6bba7346198be3fdf172a7bfee3ecde3489bece0508f41,504365040
41,2011-10-13 03:02:38,215,0195874e660103b98a44ee348528e58e71c7c094920bfd50d14124180d57d122,504365040
42,2011-10-13 03:02:47,216,f2cab26a97b0bfc191316cd22513d68d6564a6d944ad05418563b10fbcad317b,504365040
43,2011-10-13 03:02:51,215,e15abb75224d71f785c8b8bd547a8c94ce7a06f3ddacdf26f04ba2fc8ef941ee,504365040
44,2011-10-13 03:02:56,215,f11ac68a0a40803af4e478485c151eff012abd06fcd512bb6bd4d62ba92b7a5f,504365040
45,2011-10-13 03:02:58,215,1d86b80fd18fb4b63d2d78e18ba60fbc7132f0e4a6c115fb61d4f2b46a626e25,504365040
46,2011-10-13 03:03:08,216,eaea06ef6aab9a6df7d091f4eca379efea11586814d1d656bd52218683c3c040,504365040
